宗地坐落,土地用途,宗地面积(平方米),挂牌起始价(万元),lon,lat,交通_地铁数量(1.5km),交通_地铁最近距离(m),交通_公交数量(0.5km),交通_公交最近距离(m),交通_停车数量(1km),交通_停车最近距离(m),交通_火车数量(3km),交通_火车最近距离(m),交通_便利评分(0-10),价格_万元/㎡,context
广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块五,类工业用地,29334.98,5292.0,113.16176,23.4787,0,inf,3,147.32,10,174.58,2,2156.52,4.78,0.180399,该地块位于广州市花都区金狮大道以北、盘古北路以东，用途为类工业用地，面积29335平方米，起始价5292万元。交通便利性评分为4.78分，周边500米内有3个公交站点，最近距离147.32米；1公里内有10个停车设施，最近距离174.58米；3公里内有2个火车站，最近距离2156.52米。单位面积价格约为0.180399万元/平方米。
广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块四,一类工业用地,13334.48,2601.0,113.16176,23.4787,0,inf,3,147.32,10,174.58,2,2156.52,4.78,0.195058,该地块位于广州市花都区金狮大道以北、盘古北路以东，用途为一类工业用地，面积13334平方米，起始价2601万元。周边500米内有3个公交站点，最近距离147.32米，1公里内有10个停车场，最近距离174.58米，交通便利评分4.78分，单位面积价格约0.195万元/平方米。
广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块B,一类工业用地,125.82,26.0,113.15642,23.47308,4,1400.74,1,424.71,10,86.06,2,1421.85,6.12,0.206644,该地块位于广州市花都区金狮大道以南、芙蓉度假区专用道以西，用途为一类工业用地，面积126平方米，起始价26万元。交通便利性评分为6.12分，1.5公里内有4个地铁站，最近距离1400.74米；0.5公里内有1个公交站，最近距离424.71米；1公里内有10个停车场，最近距离86.06米；3公里内有2个火车站，最近距离1421.85米。单位面积价格约0.206644万元/平方米。
广州市花都区启源大道以东、永安东路以北启源大道东地块,一类工业用地,5537.94,1247.0,113.29692,23.44634,0,inf,2,264.22,10,233.42,0,inf,2.43,0.225174,该地块位于广州市花都区启源大道以东、永安东路以北，用途为一类工业用地，面积5538平方米，起始价1247万元。交通便利性评分为2.43分，周边500米内有2个公交站点，最近距离264.22米，1公里内有10个停车设施，最近距离233.42米。单位面积价格约为0.225万元/平方米。
广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块C,一类工业用地,1664.44,338.0,113.15642,23.47308,4,1400.74,1,424.71,10,86.06,2,1421.85,6.12,0.203071,该地块位于广州市花都区金狮大道以南、芙蓉度假区专用道以西，用途为一类工业用地，面积1664平方米，起始价338万元。交通便利性评分为6.12分，1.5公里内有4个地铁站，最近距离1400.74米；0.5公里内有1个公交站，最近距离424.71米；1公里内有10个停车场，最近距离86.06米；3公里内有2个火车站，最近距离1421.85米。单位面积价格约0.203万元/平方米。
广州市增城区仙村镇进奉大道东侧,一类工业用地(M1),13333.99,1761.0,113.72353,23.18577,0,inf,2,222.31,10,85.67,0,inf,2.6,0.132068,该地块位于广州市增城区仙村镇进奉大道东侧，用途为一类工业用地(M1)，用地面积13334平方米，起始价1761万元。周边500米内有2个公交站点，最近距离222.31米；1公里内有10个停车设施，最近距离85.67米。交通便利评分2.60分，单位面积价格约0.132万元/平方米。
番禺区大石街南大干线北侧BA0602091地块,二类居住用地R2,38828.0,110400.0,113.31338,23.05355,10,329.04,2,329.04,10,35.1,0,inf,5.61,2.843309,该地块位于番禺区大石街南大干线北侧，用途为二类居住用地，面积38828平方米，起始价110400万元。周边1.5公里内有10个地铁站点，最近距离329.04米，0.5公里内有2个公交站点，最近距离相同，1公里内有10个停车设施，最近距离35.1米，交通便利评分5.61分，单位面积价格约2.84万元/平方米。
广州航空配套产业园AB0403169、AB08854,一类工业用地/一类物流仓储用地(M1/W1),14804.0,1266.0,113.26416,23.10036,10,124.29,10,130.31,10,76.53,2,1696.82,9.01,0.085517,"该地块位于广州航空配套产业园，坐标(113.264160, 23.100360)，用途为一类工业用地和一类物流仓储用地。用地面积14804平方米，起始价1266万元，单位面积价格约0.086万元/平方米。交通便利性高，评分9.01分，1.5公里内有10个地铁站，最近距离124.29米；0.5公里内有10个公交站，最近距离130.31米；1公里内有10个停车场，最近距离76.53米；3公里内有2个火车站，最近距离1696.82米。"
番禺区黄沙岛BC0613035地块,二类居住用地R2,44523.73,42180.0,113.39259,22.93076,7,880.37,1,498.7,10,297.26,0,inf,4.3,0.94736,位于番禺区黄沙岛，用途为二类居住用地，用地面积44524平方米，起始价42180万元。周边1.5公里内有7个地铁站，最近距离880.37米；0.5公里内有1个公交站，最近距离498.7米；1公里内有10个停车场，最近距离297.26米。交通便利评分4.30分，单位面积价格约0.947万元/平方米。
广州市南沙区万顷沙保税港十涌东路南侧、利东路东侧,一类工业用地(M1),16762.0,1700.0,113.59911,22.68383,0,inf,1,216.07,6,65.8,0,inf,2.33,0.10142,该地块位于广州市南沙区万顷沙保税港十涌东路南侧、利东路东侧，用途为一类工业用地(M1)，用地面积16762平方米，起始价1700万元。周边500米内有1个公交站点，最近距离216.07米；1公里内有6个停车设施，最近距离65.8米。交通便利评分2.33分，单位面积价格约0.101万元/平方米。
