宗地坐落,土地用途,宗地面积(平方米),挂牌起始价(万元),lon,lat,交通_地铁数量(1.5km),交通_地铁最近距离(m),交通_地铁站名,交通_公交数量(0.5km),交通_公交最近距离(m),交通_停车数量(1km),交通_停车最近距离(m),交通_火车数量(5km),交通_火车最近距离(m),交通_火车站名,交通_高速数量(5km),交通_高速最近距离(m),交通_便利评分(0-10),生活_银行数量(1km),生活_银行最近距离(m),生活_超市数量(1km),生活_超市最近距离(m),生活_餐饮数量(0.5km),生活_餐饮最近距离(m),生活_医院数量(3km),生活_医院最近距离(m),生活_医院名称,生活_药店数量(1km),生活_药店最近距离(m),生活_便利评分(0-10),教育_高校数量(5km),教育_高校最近距离(m),教育_高校名称,教育_中小学数量(2km),教育_中小学最近距离(m),教育_资源评分(0-10),产业_物流园数量(5km),产业_物流最近距离(m),产业_工业园数量(5km),产业_工业园最近距离(m),产业_配套评分(0-10),商业_写字楼数量(2km),商业_写字楼最近距离(m),商业_酒店数量(2km),商业_酒店最近距离(m),商业_环境评分(0-10),context,价格_万元/㎡
广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块五,类工业用地,29334.98,5292.0,113.16176,23.4787,0,,,0,,10,271,2,2814.0,军田站|狮岭站(进站口),0,,2.1,0,,9,411.0,10,181.0,10,1400.0,玉峰社区卫生服务站|狮岭宝峰社区卫生服务中心|花都区第二人民医院预防接种门诊,8,333.0,8.0,13,4607.0,广州工商学院-新工科实验教学中心|广州工商学院-器材区|广州工商学院驾驶培训学院,5,808.0,9.0,25,66,0,,4.0,24,239.0,25,315.0,7.0,该地块位于广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块五，用途为类工业用地，面积29335平方米，起始价5292万元。交通：5公里内有2个火车站。交通便利评分2.1分。生活配套：500米内有10家餐饮；1公里内有9家超市；3公里内有10家医院。5公里内有13所高校。周边5公里内有25个物流园区。单位面积价格约0.1804万元/平方米。,0.18039896396725003
广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块四,一类工业用地,13334.48,2601.0,113.16176,23.4787,0,,,0,,10,271,2,2814.0,军田站|狮岭站(进站口),0,,2.1,0,,9,411.0,10,181.0,10,1400.0,玉峰社区卫生服务站|狮岭宝峰社区卫生服务中心|花都区第二人民医院预防接种门诊,8,333.0,8.0,13,4607.0,广州工商学院-新工科实验教学中心|广州工商学院-器材区|广州工商学院驾驶培训学院,5,808.0,9.0,25,66,0,,4.0,24,239.0,25,315.0,7.0,该地块位于广州市花都区金狮大道以北、盘古北路以东金狮大道北一分地块四，用途为一类工业用地，面积13334平方米，起始价2601万元。交通：5公里内有2个火车站。交通便利评分2.1分。生活配套：500米内有10家餐饮；1公里内有9家超市；3公里内有10家医院。5公里内有13所高校。周边5公里内有25个物流园区。单位面积价格约0.1951万元/平方米。,0.19505822499265063
广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块B,一类工业用地,125.82,26.0,113.15642,23.47308,0,,,2,228.0,20,112,2,1985.0,军田站|狮岭站(进站口),0,,4.1,1,808.0,11,76.0,25,4.0,10,1133.0,花都区狮岭镇社区卫生服务中心|花都区第二人民医院预防接种门诊|广州市花都区第二人民医院,19,101.0,9.0,25,4325.0,广州工商学院-新工科实验教学中心|广州工商学院驾驶培训学院|广州工商学院-器材区,6,307.0,9.0,25,49,0,,4.0,25,209.0,25,78.0,7.0,该地块位于广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块B，用途为一类工业用地，面积126平方米，起始价26万元。交通：500米内有2个公交站；5公里内有2个火车站。交通便利评分4.1分。生活配套：500米内有25家餐饮；1公里内有11家超市；3公里内有10家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.2066万元/平方米。,0.20664441265299635
广州市花都区启源大道以东、永安东路以北启源大道东地块,一类工业用地,5537.94,1247.0,113.29692,23.44634,0,,,0,,4,586,1,3701.0,花山镇站,0,,1.8,0,,3,571.0,1,444.0,5,2107.0,花山镇卫生院|花山医院|花山镇卫生院急诊,0,,6.0,4,2442.0,广州铁路职业技术学院(花都校区)|广州民航职业技术学院实训基地|广州民航职业技术学院(白云机场校区),2,1644.0,8.0,25,604,0,,4.0,8,738.0,25,1124.0,7.0,该地块位于广州市花都区启源大道以东、永安东路以北启源大道东地块，用途为一类工业用地，面积5538平方米，起始价1247万元。交通：5公里内有1个火车站。交通便利评分1.8分。生活配套：500米内有1家餐饮；1公里内有3家超市；3公里内有5家医院。5公里内有4所高校。周边5公里内有25个物流园区。单位面积价格约0.2252万元/平方米。,0.22517398166105088
广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块C,一类工业用地,1664.44,338.0,113.15642,23.47308,0,,,2,228.0,20,112,2,1985.0,军田站|狮岭站(进站口),0,,4.1,1,808.0,11,76.0,25,4.0,10,1133.0,花都区狮岭镇社区卫生服务中心|花都区第二人民医院预防接种门诊|广州市花都区第二人民医院,19,101.0,9.0,25,4325.0,广州工商学院-新工科实验教学中心|广州工商学院驾驶培训学院|广州工商学院-器材区,6,307.0,9.0,25,49,0,,4.0,25,209.0,25,78.0,7.0,该地块位于广州市花都区金狮大道以南、芙蓉度假区专用道以西金狮大道南二地块C，用途为一类工业用地，面积1664平方米，起始价338万元。交通：500米内有2个公交站；5公里内有2个火车站。交通便利评分4.1分。生活配套：500米内有25家餐饮；1公里内有11家超市；3公里内有10家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.2031万元/平方米。,0.2030713032611569
广州市增城区仙村镇进奉大道东侧,一类工业用地(M1),13333.99,1761.0,113.72353,23.18577,0,,,0,,6,653,0,,,0,,1.1,4,728.0,2,696.0,0,,1,2502.0,仙村医院,2,681.0,5.0,0,,,3,816.0,3.0,25,117,0,,4.0,4,1139.0,2,687.0,5.5,该地块位于广州市增城区仙村镇进奉大道东侧，用途为一类工业用地(M1)，面积13334平方米，起始价1761万元。交通便利评分1.1分。生活配套：1公里内有2家超市；3公里内有1家医院。周边5公里内有25个物流园区。单位面积价格约0.1321万元/平方米。,0.1320684956265904
番禺区大石街南大干线北侧BA0602091地块,二类居住用地R2,38828.0,110400.0,113.31338,23.05355,2,533.0,沥滘地铁站A口|沥滘(地铁站),5,121.0,15,51,1,3967.0,城际大石东站(D进站口),0,,7.9,4,88.0,4,413.0,25,33.0,20,792.0,南洲街社区卫生服务中心|南洲街三滘社区卫生服务站|广州紫荆医院,11,476.0,9.0,25,2009.0,中房商学院|华南农业大学园艺学院茶学专业科研、教学实习基地|广州市旅游商务职业学校实习基地,8,587.0,9.0,25,20,1,2903.0,7.0,25,63.0,25,486.0,7.0,该地块位于番禺区大石街南大干线北侧BA0602091地块，用途为二类居住用地R2，面积38828平方米，起始价110400万元。交通：1.5公里内有2个地铁站，最近533米；500米内有5个公交站；5公里内有1个火车站。交通便利评分7.9分。生活配套：500米内有25家餐饮；1公里内有4家超市；3公里内有20家医院。5公里内有25所高校。周边5公里内有25个物流园区、1个工业园区。单位面积价格约2.8433万元/平方米。,2.843308952302462
广州航空配套产业园AB0403169、AB08854,一类工业用地/一类物流仓储用地(M1/W1),14804.0,1266.0,113.26416,23.10036,10,809.0,市二宫地铁站E口|市二宫(地铁站)|凤凰新村地铁站B口,7,140.0,17,10,1,3805.0,石围塘站,1,1435.0,9.6,25,153.0,25,45.0,25,27.0,25,357.0,广州市海珠区海幢街社区卫生服务中心|广州市红十字会医院9号住院楼|广州市红十字会医院内科大楼,25,101.0,9.0,25,146.0,广州美术学院附属中等美术学校(宝岗校区)|广东药科大学宝岗校区(北区)|广东药科大学(广州宝岗校区南区),25,316.0,9.0,25,99,7,804.0,8.0,25,104.0,25,61.0,7.0,该地块位于广州航空配套产业园AB0403169、AB08854，用途为一类工业用地/一类物流仓储用地(M1/W1)，面积14804平方米，起始价1266万元。交通：1.5公里内有10个地铁站，最近809米；500米内有7个公交站；5公里内有1个火车站；5公里内有1个高速出入口。交通便利评分9.6分。生活配套：500米内有25家餐饮；1公里内有25家超市；3公里内有25家医院。5公里内有25所高校。周边5公里内有25个物流园区、7个工业园区。单位面积价格约0.0855万元/平方米。,0.08551742772223724
番禺区黄沙岛BC0613035地块,二类居住用地R2,44523.73,42180.0,113.39259,22.93076,4,779.0,番禺广场地铁站E口|番禺广场(地铁站)|番禺广场地铁站H口,2,338.0,17,83,0,,,0,,6.4,13,380.0,10,528.0,25,128.0,25,678.0,广州番大中医医院|张钰麟社区卫生服务站|番禺区大龙街社区卫生服务中心,25,176.0,9.0,4,2150.0,广州市德才自学考试铺导中心|广州番禺职业技术学院工商管理系|中奥到家集团白金管家学院,9,105.0,9.0,25,143,0,,4.0,25,65.0,25,178.0,7.0,该地块位于番禺区黄沙岛BC0613035地块，用途为二类居住用地R2，面积44524平方米，起始价42180万元。交通：1.5公里内有4个地铁站，最近779米；500米内有2个公交站。交通便利评分6.4分。生活配套：500米内有25家餐饮；1公里内有10家超市；3公里内有25家医院。5公里内有4所高校。周边5公里内有25个物流园区。单位面积价格约0.9474万元/平方米。,0.9473599808461689
广州市南沙区万顷沙保税港十涌东路南侧、利东路东侧,一类工业用地(M1),16762.0,1700.0,113.59911,22.68383,0,,,0,,3,471,1,4612.0,南沙站(建设中),0,,1.8,0,,0,,0,,0,,,1,612.0,0.5,0,,,1,1205.0,2.0,25,386,0,,4.0,0,,0,,0.0,该地块位于广州市南沙区万顷沙保税港十涌东路南侧、利东路东侧，用途为一类工业用地(M1)，面积16762平方米，起始价1700万元。交通：5公里内有1个火车站。交通便利评分1.8分。周边5公里内有25个物流园区。单位面积价格约0.1014万元/平方米。,0.10141987829614604
